stride_lines	stride_bytes	train_step	avg_ns
26	1664	15	195
26	1664	16	49
26	1664	17	52
26	1664	18	171
26	1664	19	70
26	1664	20	193
26	1664	21	60
26	1664	22	56
26	1664	23	128
26	1664	24	52
26	1664	25	159
26	1664	26	49
26	1664	27	48
26	1664	28	141
26	1664	29	50
26	1664	30	142
26	1664	31	48
26	1664	32	173
26	1664	33	52
26	1664	34	64
26	1664	35	164
26	1664	36	52
26	1664	37	152
26	1664	38	71
26	1664	39	62
27	1728	0	229
27	1728	1	204
27	1728	2	179
27	1728	3	166
27	1728	4	69
27	1728	5	174
27	1728	6	48
27	1728	7	51
27	1728	8	125
27	1728	9	48
27	1728	10	177
27	1728	11	49
27	1728	12	150
27	1728	13	48
27	1728	14	53
27	1728	15	180
27	1728	16	191
27	1728	17	193
27	1728	18	75
27	1728	19	169
27	1728	20	51
27	1728	21	48
27	1728	22	167
27	1728	23	64
27	1728	24	177
27	1728	25	48
27	1728	26	48
27	1728	27	157
27	1728	28	49
27	1728	29	151
27	1728	30	56
27	1728	31	187
27	1728	32	48
27	1728	33	52
27	1728	34	151
27	1728	35	47
27	1728	36	147
27	1728	37	48
27	1728	38	151
27	1728	39	48
28	1792	0	347
28	1792	1	206
28	1792	2	238
28	1792	3	265
28	1792	4	254
28	1792	5	224
28	1792	6	49
28	1792	7	189
28	1792	8	53
28	1792	9	51
28	1792	10	197
28	1792	11	49
28	1792	12	172
28	1792	13	80
28	1792	14	188
28	1792	15	48
28	1792	16	198
28	1792	17	50
28	1792	18	52
28	1792	19	155
28	1792	20	47
28	1792	21	175
28	1792	22	48
28	1792	23	163
28	1792	24	53
28	1792	25	56
28	1792	26	168
28	1792	27	47
28	1792	28	166
28	1792	29	47
28	1792	30	158
28	1792	31	48
28	1792	32	148
28	1792	33	63
28	1792	34	48
28	1792	35	137
28	1792	36	57
28	1792	37	156
28	1792	38	48
28	1792	39	128
29	1856	0	314
29	1856	1	220
29	1856	2	212
29	1856	3	228
29	1856	4	206
29	1856	5	207
29	1856	6	49
29	1856	7	200
29	1856	8	52
29	1856	9	183
29	1856	10	50
29	1856	11	48
29	1856	12	188
29	1856	13	47
29	1856	14	182
29	1856	15	50
29	1856	16	182
29	1856	17	201
29	1856	18	179
29	1856	19	51
29	1856	20	178
29	1856	21	48
29	1856	22	49
29	1856	23	201
29	1856	24	49
29	1856	25	175
29	1856	26	48
29	1856	27	160
29	1856	28	133
29	1856	29	179
29	1856	30	48
29	1856	31	195
29	1856	32	50
29	1856	33	50
29	1856	34	179
29	1856	35	74
29	1856	36	180
29	1856	37	50
29	1856	38	178
29	1856	39	49
30	1920	0	299
30	1920	1	199
30	1920	2	216
30	1920	3	250
30	1920	4	193
30	1920	5	213
30	1920	6	52
30	1920	7	196
30	1920	8	51
30	1920	9	170
30	1920	10	53
30	1920	11	206
30	1920	12	49
30	1920	13	178
30	1920	14	55
30	1920	15	185
30	1920	16	81
30	1920	17	93
30	1920	18	149
30	1920	19	52
30	1920	20	175
30	1920	21	57
30	1920	22	178
30	1920	23	48
30	1920	24	167
30	1920	25	49
30	1920	26	170
30	1920	27	52
30	1920	28	138
30	1920	29	48
30	1920	30	180
30	1920	31	48
