stride_lines	stride_bytes	train_step	avg_ns
25	1600	34	83
25	1600	35	82
25	1600	36	86
25	1600	37	82
25	1600	38	85
25	1600	39	85
26	1664	0	239
26	1664	1	227
26	1664	2	251
26	1664	3	231
26	1664	4	226
26	1664	5	127
26	1664	6	173
26	1664	7	99
26	1664	8	137
26	1664	9	133
26	1664	10	92
26	1664	11	86
26	1664	12	95
26	1664	13	120
26	1664	14	116
26	1664	15	91
26	1664	16	91
26	1664	17	96
26	1664	18	90
26	1664	19	86
26	1664	20	118
26	1664	21	127
26	1664	22	89
26	1664	23	96
26	1664	24	92
26	1664	25	163
26	1664	26	131
26	1664	27	89
26	1664	28	82
26	1664	29	83
26	1664	30	85
26	1664	31	87
26	1664	32	84
26	1664	33	82
26	1664	34	87
26	1664	35	90
26	1664	36	86
26	1664	37	84
26	1664	38	86
26	1664	39	82
27	1728	0	237
27	1728	1	222
27	1728	2	241
27	1728	3	96
27	1728	4	87
27	1728	5	96
27	1728	6	89
27	1728	7	90
27	1728	8	93
27	1728	9	93
27	1728	10	91
27	1728	11	86
27	1728	12	86
27	1728	13	96
27	1728	14	96
27	1728	15	93
27	1728	16	91
27	1728	17	85
27	1728	18	91
27	1728	19	93
27	1728	20	183
27	1728	21	88
27	1728	22	90
27	1728	23	89
27	1728	24	104
27	1728	25	87
27	1728	26	87
27	1728	27	195
27	1728	28	86
27	1728	29	91
27	1728	30	88
27	1728	31	95
27	1728	32	86
27	1728	33	86
27	1728	34	83
27	1728	35	85
27	1728	36	82
27	1728	37	83
27	1728	38	103
27	1728	39	81
28	1792	0	235
28	1792	1	229
28	1792	2	188
28	1792	3	94
28	1792	4	93
28	1792	5	91
28	1792	6	91
28	1792	7	90
28	1792	8	112
28	1792	9	93
28	1792	10	91
28	1792	11	86
28	1792	12	89
28	1792	13	89
28	1792	14	168
28	1792	15	133
28	1792	16	90
28	1792	17	86
28	1792	18	94
28	1792	19	88
28	1792	20	84
28	1792	21	87
28	1792	22	91
28	1792	23	87
28	1792	24	109
28	1792	25	154
28	1792	26	224
28	1792	27	90
28	1792	28	88
28	1792	29	80
28	1792	30	85
28	1792	31	85
28	1792	32	97
28	1792	33	85
28	1792	34	84
28	1792	35	86
28	1792	36	80
28	1792	37	92
28	1792	38	83
28	1792	39	98
29	1856	0	231
29	1856	1	227
29	1856	2	227
29	1856	3	243
29	1856	4	90
29	1856	5	88
29	1856	6	92
29	1856	7	89
29	1856	8	96
29	1856	9	95
29	1856	10	90
29	1856	11	89
29	1856	12	91
29	1856	13	93
29	1856	14	85
29	1856	15	119
29	1856	16	92
29	1856	17	95
29	1856	18	86
29	1856	19	90
29	1856	20	85
29	1856	21	85
29	1856	22	88
29	1856	23	107
29	1856	24	87
29	1856	25	134
29	1856	26	217
29	1856	27	88
29	1856	28	101
29	1856	29	90
29	1856	30	83
29	1856	31	83
29	1856	32	85
29	1856	33	83
29	1856	34	81
29	1856	35	80
29	1856	36	82
29	1856	37	83
29	1856	38	91
29	1856	39	86
30	1920	0	238
30	1920	1	226
30	1920	2	240
30	1920	3	90
30	1920	4	93
30	1920	5	90
30	1920	6	91
30	1920	7	88
30	1920	8	92
30	1920	9	90
30	1920	10	89
30	1920	11	88
30	1920	12	91
30	1920	13	90
30	1920	14	248
30	1920	15	91
30	1920	16	90
30	1920	17	89
30	1920	18	90
30	1920	19	149
30	1920	20	225
30	1920	21	90
30	1920	22	115
30	1920	23	100
30	1920	24	157
30	1920	25	156
30	1920	26	93
30	1920	27	96
30	1920	28	193
30	1920	29	86
30	1920	30	86
30	1920	31	84
30	1920	32	88
30	1920	33	83
30	1920	34	86
30	1920	35	84
30	1920	36	84
30	1920	37	88
30	1920	38	83
30	1920	39	84
31	1984	0	240
31	1984	1	227
31	1984	2	233
31	1984	3	133
31	1984	4	93
31	1984	5	91
31	1984	6	90
31	1984	7	89
31	1984	8	95
